کد ملک,تاریخ اپلود,نوع ملک,آدرس,نوع معامله,قیمت واحد,قیمت کل,طبقه,خواب,زیربنا,تلفن,آشپزخانه,سرویس,کفپوش
10354393,1403/05/13,آپارتمان,جنت آباد مركزی نرسیده به كوچه عسگری,خرید,"111,000,000","17,871,000,000",1,3,161,1,MDF,ايراني فرنگي,سنگ
3665727,1403/05/13,اداری,آرژانتین خ الوند,خرید,"170,000,000","24,140,000,000",3,2,142,1,آبدارخانه,ايراني فرنگي,سراميک
10244175,1403/05/13,آپارتمان,خواجه عبدالله خ تیسفون,خرید,"116,504,000","12,000,000,000",1,2,103,1,MDF,ايراني فرنگي,سنگ
10117674,1403/05/13,اداری,میرزای شیرازی نرسیده به خ میرزاحسنی,خرید,"146,341,000","18,000,000,000",1,3,123,1,آبدارخانه,ايراني فرنگي,پارکت
10354392,1403/05/13,آپارتمان,جنت آباد جنوبی خ لاله غربی,خرید,"117,000,000","12,636,000,000",1,2,108,1,MDF,ايراني فرنگي,پارکت
10354391,1403/05/13,مغازه,بلوار كشاورز خ فلسطین,خرید,"800,000,000","40,000,000,000",1,0,35,1,نا مشخص,نامشخص,سنگ
10248874,1403/05/13,آپارتمان,ایران خ قادری,خرید,"100,000,000","14,700,000,000",4,3,147,1,چوبي,ايراني فرنگي,سنگ
10354389,1403/05/13,آپارتمان,اشرفی اصفهانی خ اسلامیان,خرید,"127,659,000","12,000,000,000",4,2,94,1,MDF,ايراني فرنگي,سراميک
10354388,1403/05/13,آپارتمان,پونك سردارجنگل شمالی خ لادن,خرید,"130,000,000","13,910,000,000",4,2,107,1,چوبي,ايراني فرنگي,سنگ
10123220,1403/05/13,آپارتمان,انقلاب خ دانشگاه,خرید,"68,888,000","6,200,000,000",4,2,90,1,MDF,ايرانی,پارکت
10254129,1403/05/13,آپارتمان,شریعتی پائین تراز خ ملك روبروی میثاق,خرید,"90,000,000","7,200,000,000",1,1,80,1,MDF,ايرانی,سراميک
10354387,1403/05/13,آپارتمان,كن خ ادهمی خ عاصمی,خرید,"120,000,000","12,600,000,000",1,2,105,1,چوبي,ايراني فرنگي,سنگ
2670698,1403/05/13,اداری,كریم خان بعد از داروخانه 13 آبان,خرید,"150,000,000","19,200,000,000",9,4,128,1,آبدارخانه,ايرانی,پارکت
2670693,1403/05/13,اداری,كریم خان بعد از داروخانه 13 آبان,خرید,"150,000,000","38,400,000,000",1,7,256,1,آبدارخانه,ايرانی,پارکت
10354386,1403/05/13,آپارتمان,كن خ ادهمی خ عاصمی,خرید,"120,000,000","7,800,000,000",4,1,65,1,چوبي,ايراني فرنگي,سنگ
10116523,1403/05/13,اداری,بلوار فردوس شرق ابراهیمی جنوبی,خرید,"170,000,000","11,050,000,000",3,0,65,2,آبدارخانه,ايراني فرنگي,سنگ
10273868,1403/05/13,اداری,نارمك میدان 77,خرید,"112,960,000","6,100,000,000",4,1,54,1,آبدارخانه,ايرانی,سراميک
10116524,1403/05/13,اداری,بلوار فردوس شرق ابراهیمی جنوبی,خرید,"170,000,000","12,750,000,000",3,0,75,2,آبدارخانه,ايراني فرنگي,سنگ
10117710,1403/05/13,آپارتمان,نارمك خ سامان,خرید,"150,000,000","17,550,000,000",3,2,117,1,MDF,فرنگی,سراميک
10354385,1403/05/13,مغازه,میدان آرژانتین بالاتراز مركزخرید افریقا,خرید,"800,000,000","25,600,000,000",3,0,22,1,نا مشخص,نامشخص,سراميک
10300877,1403/05/13,آپارتمان,نارمك میدان 21,خرید,"110,169,000","6,500,000,000",2,1,59,1,MDF,ايرانی,پارکت سنگ
10332560,1403/05/13,تجاری,نارمك نرسیده به مترو سرسبز,خرید,"600,000,000","198,000,000,000",2,0,330,1,نا مشخص,ايرانی,سنگ
10335038,1403/05/13,آپارتمان,گلبرگ غربی خ صفایی,خرید,"67,500,000","2,970,000,000",3,1,44,1,MDF,ايرانی,سراميک
10182605,1403/05/13,آپارتمان,فاطمی خ جویبار,خرید,"87,719,000","25,000,000,000",3,3,285,1,MDF,ايرانی,سراميک
10186962,1403/05/13,آپارتمان,مطهری خ تركمنستان,خرید,"132,352,000","13,500,000,000",1,2,102,1,MDF,ايراني فرنگي,سنگ
10180207,1403/05/13,آپارتمان,نارمك میدان 86,خرید,"104,900,000","5,350,000,000",3,1,51,1,هایگلاس,ايراني فرنگي,سراميک
3990912,1403/05/13,آپارتمان,جلفا ك پروانه,خرید,"119,047,000","15,000,000,000",2,2,126,1,هایگلاس,ايراني فرنگي,سنگ
3272593,1403/05/13,اداری,كریم خان ك عارف ادیب,خرید,"207,317,000","85,000,000,000",2,8,410,4,آبدارخانه,ايراني فرنگي,سنگ
10241263,1403/05/13,آپارتمان,فاطمی خ فكوری خ صالحی,خرید,"89,830,000","10,600,000,000",1,2,118,1,MDF,ايراني فرنگي,سراميک
10249332,1403/05/13,آپارتمان,شهید عراقی نرسیده به ك زنبق,خرید,"137,500,000","8,800,000,000",1,2,64,1,MDF,ايرانی,سراميک
10354384,1403/05/13,آپارتمان,شریعتی روبروی خ ملك خ كشواد,خرید,"64,000,000","4,800,000,000",4,2,75,1,MDF,ايراني فرنگي,پارکت
10332600,1403/05/13,آپارتمان,گلبرگ شرقی خ دردشت,خرید,"82,474,000","8,000,000,000",1,2,97,1,MDF,ايراني فرنگي,سنگ
3989802,1403/05/13,آپارتمان,مطهری خ یوسفیان,خرید,"132,000,000","21,384,000,000",1,3,162,1,MDF,ايراني فرنگي,سنگ
10206891,1403/05/13,مغازه,ولیعصر روبروی پارك ساعی,خرید,"340,000,000","8,500,000,000",1,0,25,1,نا مشخص,نامشخص,سنگ
10350563,1403/05/13,آپارتمان,جلفا نرسیده به ك قو,خرید,"91,428,000","12,800,000,000",3,2,140,1,MDF,ايراني فرنگي,سراميک
10254656,1403/05/13,آپارتمان,مجیدیه جنوبی خ حاجی پور,خرید,"101,562,000","13,000,000,000",2,2,128,2,MDF,ايراني فرنگي,سراميک
10119594,1403/05/13,آپارتمان,حافظ خ هورچهر,خرید,"110,294,000","7,500,000,000",2,1,68,1,MDF,ايرانی,سنگ
10121715,1403/05/13,مغازه,گیشا خ فروزانفر,خرید,"478,260,000","22,000,000,000",2,0,32,1,نا مشخص,نامشخص,سنگ
3455836,1403/05/13,تجاری,پونك سردار جنگل ك حیدری مقدم,خرید,"500,000,000","121,000,000,000",2,0,242,1,نا مشخص,نامشخص,سنگ
3355336,1403/05/13,اداری,فاطمی میدان گلها,خرید,"86,666,000","65,000,000,000",2,15,750,18,فلزي,ايراني فرنگي,سراميک
10354383,1403/05/13,آپارتمان,پلیس خ ماندگار,خرید,"75,000,000","5,100,000,000",3,2,68,1,چوبي,ايراني فرنگي,سنگ
10333189,1403/05/13,اداری,گیشا نرسیده به خ اول,خرید,"160,000,000","13,600,000,000",3,5,85,1,ندارد,فرنگی,سراميک
10332817,1403/05/13,آپارتمان,سبلان جنوبی نرسیده به ك شادمان,خرید,"64,910,000","3,700,000,000",1,1,57,1,MDF,ايرانی,سراميک
3586010,1403/05/13,مغازه,ولیعصر خ زرتشت غربی,خرید,"220,000,000","7,700,000,000",1,0,35,2,آبدارخانه,ايرانی,سراميک
10336536,1403/05/13,اداری,سهروردی شمالی بعد از ماجد گچی,خرید,"133,333,000","16,000,000,000",2,2,120,1,آبدارخانه,ايراني فرنگي,سراميک
3829034,1403/05/13,اداری,تهرانپارس گلبرگ,خرید,"200,000,000","31,400,000,000",2,0,157,1,آبدارخانه,ايراني فرنگي,سنگ
10132748,1403/05/13,آپارتمان,سبلان شمالی خ حسنی,خرید,"64,516,000","4,000,000,000",2,2,62,1,هایگلاس,ايراني فرنگي,سراميک
